grupo|DOCUMENTOS E ASSENTAMENTOS
item|Ausência de Alvará Sanitário vigente e visível ao público| Art. 6º, incisos X e XXXVI, parágrafo único, e Art. 733 do Decreto Estadual nº 23.430, de 24 de outubro de 1974; Art. 10 da RDC nº 63, de 25 de novembro de 2011
item|Ausência de Projeto Básico de Arquitetura (PBA) aprovado pela VISA| Art. 6º e Art. 17, inciso I, da RDC nº 611, de 9 de março de 2022; Art. 23, inciso I, e Art. 34 da RDC nº 63, de 25 de novembro de 2011
item|Ausência de projeto de blindagem aprovado pela VISA| Art. 7º e Art. 8º da RDC nº 611, de 9 de março de 2022
item|Ausência de cadastro atualizado no CNES (Cadastro Nacional de Estabelecimentos de Saúde)| Art. 13 da RDC nº 63, de 25 de novembro de 2011; Art. 361 e Art. 364 da Portaria de Consolidação nº 1, de 28 de setembro de 2017
item|Ausência de Certidão de Responsabilidade Técnica emitida pelo CREMERS| Art. 13 da RDC nº 611, de 9 de março de 2022; Art. 14 e Art. 31, parágrafo único, da RDC nº 63, de 25 de novembro de 2011; Art. 733 do Decreto Estadual nº 23.430, de 24 de outubro de 1974
item|Ausência de Contrato de Monitoração Individual atualizado| Art. 65 e Art. 66 da RDC nº 611, de 9 de março de 2022; Art. 11 e Art. 23, inciso V, da RDC nº 63, de 25 de novembro de 2011
item|Ausência de Plano de Proteção Radiológica atualizado| Art. 5º, inciso III, Art. 17, inciso V, Art. 22, inciso VII e Art. 42 da RDC nº 611, de 9 de março de 2022; Item 32.4.2 da Norma Regulamentadora NR 32
item|Ausência de comprovante de limpeza do(s) reservatório(s) de água| Art. 23, inciso VI, e Art. 39 da RDC nº 63, de 25 de novembro de 2011
item|Ausência de comprovante do controle de pragas e vetores| Art. 23, inciso VIII, e Art. 63 da RDC nº 63, de 25 de novembro de 2011; Art. 46, inciso IV, Art. 47, Art. 49, alínea “c”, e Art. 51 do Decreto Estadual nº 23.430, de 24 de outubro de 1974
item|Ausência de Plano de Manutenção, Operação e Controle (PMOC) dos sistemas de climatização| Art. 1º da Lei Federal nº 13.589, de 4 de janeiro de 2018; Art.6º da Portaria GM/MS nº 3.523, de 28 de agosto de 1998
item|Ausência de comprovante de limpeza dos sistemas de climatização| Art. 3º da Lei Federal nº 13.589, de 4 de janeiro de 2018; Art. 5º da Portaria GM/MS nº 3.523, de 28 de agosto de 1998
item|Ausência de Plano de Gerenciamento das tecnologias em saúde (OBS: Para produtos para saúde, incluindo equipamentos, produtos de higiene e cosméticos, medicamentos e saneantes)| Art. 5º da RDC nº 509, de 27 de maio de 2021; Art. 54 da RDC nº 63, de 25 de novembro de 2011
item|Ausência de comprovante de manutenção preventiva e corretiva dos equipamentos| Art. 28, parágrafo único, e Art. 77, incisos IV e VII, da RDC nº 611, de 9 de março de 2022; Art. 23, inciso IX, da RDC nº 63, de 25 de novembro de 2011
item|Ausência de registro dos procedimentos radiológicos realizados nos pacientes| Art. 17, inciso II, da RDC nº 611, de 9 de março de 2022; Art. 24, Art. 25, Art. 26, Art. 27 e Art. 28 da RDC nº 63, de 25 de novembro de 2011
item|Ausência de registro das repetições de exames, com indicação do motivo da repetição| Art. 41 da RDC nº 611, de 9 de março de 2022
item|Ausência de registro dos extravasamentos de contraste| Art. 41 da RDC nº 611, de 9 de março de 2022;Art. 23, inciso XIV, da RDC nº 63, de 25 de novembro de 2011;  Art. 7º, incisos IX, X, XI e XII, da RDC nº 36, de 25 de julho de 2013
item|Ausência de registro das intercorrências e anomalias ocorridas no serviço| Art. 41 da RDC nº 611, de 9 de março de 2022; Art. 23, inciso XIV, da RDC nº 63, de 25 de novembro de 2011; Art. 7º, incisos IX, X, XI e XII, da RDC nº 36, de 25 de julho de 2013
item|Ausência de POPs atualizados de todos os procedimentos realizados no serviço| Art. 38 da RDC nº 611, de 9 de março de 2022; Art. 23, inciso XVIII, e Art. 51 da RDC nº 63, de 25 de novembro de 2011
item|Ausência de Comissão de Controle de Infecções (CCI ou CCIH) implementada (OBS: Aplicável somente a Hospitais ou serviços de assistência à saúde que realizem procedimentos cirúrgicos, exceto consultórios médicos e odontológicos, para os quais o próprio RT é o responsável pelas medidas de controle de infecções, conforme Art. 2º da Portaria SES nº 132/2009)|Art. 20 e Art. 23, inciso IV, da RDC nº 63, de 25 de novembro de 2011; Art. 2º da Portaria SES/RS nº 132, de 18 de maio de 2009
item|Ausência de Núcleo de Segurança do Paciente (NSP) implementado|Art. 20 e Art. 23, inciso IV, da RDC nº 63, de 25 de novembro de 2011; Art. 4º da RDC nº 36, de 25 de julho de 2013
item|Ausência Comitê de Gerenciamento de Riscos em Radiologia Diagnóstica ou Intervencionista (CGRRDI) implementado|Art. 39, parágrafo único, da RDC nº 611, de 9 de março de 2022; Art. 20 e Art. 23, inciso IV, da RDC nº 63, de 25 de novembro de 2011
grupo|PROGRAMA DE EDUCAÇÃO PERMANENTE
item|Não são realizadas capacitações e treinamentos, iniciais e periódicos, com frequência mínima anual, contemplando normas, rotinas, protocolos e procedimentos operacionais|Art. 5º, inciso II, Art. 15, Art. 17, inciso V, Art. 22, inciso V, e Art. 23, inciso IV, da RDC nº 611, de 9 de março de 2022; Art. 23, inciso III, Art. 32 e Art. 33 da RDC nº 63, de 25 de novembro de 2011
item|Não são realizadas capacitações e treinamentos, iniciais e periódicos, com frequência mínima anual, contemplando segurança do paciente|Art. 5º, inciso II, Art. 15, Art. 17, inciso V, Art. 22, inciso V, e Art. 23, inciso IV, da RDC nº 611, de 9 de março de 2022; Art. 23, inciso III, Art. 32 e Art. 33 da RDC nº 63, de 25 de novembro de 2011
item|Não são realizadas capacitações e treinamentos, iniciais e periódicos, com frequência mínima anual, contemplando gerenciamento de riscos inerentes às tecnologias utilizadas|Art. 5º, inciso II, Art. 15, Art. 17, inciso V, Art. 22, inciso V, e Art. 23, inciso IV, da RDC nº 611, de 9 de março de 2022; Art. 23, inciso III, Art. 32 e Art. 33 da RDC nº 63, de 25 de novembro de 2011
item|Não são realizadas capacitações e treinamentos, iniciais e periódicos, com frequência mínima anual, contemplando Programa de Garantia da Qualidade|Art. 5º, inciso II, Art. 15, Art. 17, inciso V, Art. 22, inciso V, e Art. 23, inciso IV, da RDC nº 611, de 9 de março de 2022; Art. 23, inciso III, Art. 32 e Art. 33 da RDC nº 63, de 25 de novembro de 2011
item|Não são realizadas capacitações e treinamentos, iniciais e periódicos, com frequência mínima anual, contemplando Programa de Proteção Radiológica|Art. 5º, inciso II, Art. 15, Art. 17, inciso V, Art. 22, inciso V, e Art. 23, inciso IV, da RDC nº 611, de 9 de março de 2022; Art. 23, inciso III, Art. 32 e Art. 33 da RDC nº 63, de 25 de novembro de 2011
